treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
140,2020/2021,1,0.4262751266470225,36,2023/2024,0.42683925194478245,0.002306259902687513
140,2020/2021,1,0.4262751266470225,148,2020/2021,0.4242583905179927,0.008251292487035045
140,2022/2023,1,0.44683420224014603,281,2023/2024,0.44964198711586434,0.011352841054530854
411,2022/2023,1,0.3384868893197248,163,2024/2025,0.33877742999473426,0.0012972858690692979
177,2019/2020,3,0.48321337584928614,206,2021/2022,0.4639961899617919,0.07709318632573499
177,2020/2021,3,0.23669703838815911,476,2023/2024,0.23465938474637507,0.01131193287258725
303,2019/2020,2,0.6076758650789023,88,2022/2023,0.593817106735842,0.0577854135136151
303,2020/2021,2,0.4511628084811469,481,2024/2025,0.4445310504739226,0.026819229561049346
303,2020/2021,2,0.4511628084811469,455,2023/2024,0.458667241607415,0.030264387476604315
274,2019/2020,1,0.551887132731565,418,2024/2025,0.534328433661828,0.07076831721335147
274,2019/2020,1,0.551887132731565,19,2019/2020,0.533926118197245,0.07238511129115993
239,2020/2021,1,0.3990550964327854,184,2019/2020,0.39902365307634907,0.00013111945315252838
239,2022/2023,1,0.40856659837375137,244,2020/2021,0.4087021105716312,0.0005607734261607877
239,2022/2023,1,0.40856659837375137,377,2021/2022,0.40581722466889364,0.011389949703467017
109,2019/2020,3,0.11157262592226111,66,2023/2024,0.11069039138715243,0.008931231856067257
109,2023/2024,3,0.21750955230272176,65,2023/2024,0.2167858034283108,0.004257485612865652
149,2021/2022,1,0.5241931761151667,375,2020/2021,0.5272960668677812,0.012444595752284099
424,2024/2025,2,0.5934625717480475,463,2023/2024,0.5689851965257179,0.1005861683274521
491,2024/2025,2,0.42831789293772443,453,2022/2023,0.4265010061960401,0.007424036346502516
381,2022/2023,2,0.6413783918758089,55,2021/2022,0.6433935595811717,0.008772057434869085
381,2024/2025,2,0.5460358073245132,345,2023/2024,0.5465623541638014,0.0021244030809668135
381,2024/2025,2,0.5460358073245132,60,2021/2022,0.544395973784867,0.006613424242827626
261,2019/2020,2,0.418665140164948,338,2024/2025,0.42131462615202536,0.01087648039139194
3,2019/2020,2,0.3524696214642661,304,2021/2022,0.35108157729168915,0.006087130661102114
142,2023/2024,1,0.3348901165837036,143,2021/2022,0.3351969443589563,0.0013772102349427495
35,2019/2020,1,0.33388847803618354,416,2024/2025,0.3329370826956021,0.004280771188981625
35,2019/2020,1,0.33388847803618354,234,2020/2021,0.33292991720950643,0.0043130352499809455
35,2019/2020,1,0.33388847803618354,334,2020/2021,0.3324976027758248,0.006260263445558634
254,2019/2020,2,0.3535626934087194,1,2023/2024,0.3507461989255687,0.012345423333076533
254,2021/2022,2,0.16269461873220523,302,2022/2023,0.16307948695531135,0.0028225497176772585
4,2020/2021,2,0.42169705501801097,87,2020/2021,0.4216511756832691,0.0001881341080025578
5,2022/2023,2,0.44127919720531233,126,2021/2022,0.44129579907595035,6.733595315058793e-05
