treated_club,treated_season,control_club,control_season,tier,hire_type,firing_mw,t_pre,t_post,c_pre,c_post,t_diff,c_diff,did
260,2023/2024,118,2020/2021,2,Interim,24.0,-0.375,-0.4444444444444444,1.0,2.0,-0.06944444444444442,1.0,-1.0694444444444444
422,2023/2024,329,2021/2022,2,Interim,20.0,-0.5399999999999999,-0.0008333333333333434,0.875,-0.2,0.5391666666666666,-1.075,1.6141666666666665
422,2023/2024,301,2019/2020,2,Interim,20.0,-0.5399999999999999,-0.0008333333333333434,1.625,0.08333333333333333,0.5391666666666666,-1.5416666666666667,2.0808333333333335
129,2022/2023,131,2019/2020,1,Permanent,18.0,1.0,1.6666666666666667,0.375,-0.25,0.6666666666666667,-0.625,1.2916666666666667
129,2023/2024,44,2024/2025,1,Permanent,10.0,-0.37250000000000005,0.8508333333333334,0.37750000000000006,-0.4524999999999999,1.2233333333333336,-0.83,2.0533333333333337
129,2023/2024,201,2023/2024,1,Permanent,10.0,-0.37250000000000005,0.8508333333333334,-0.31375,0.0375,1.2233333333333336,0.35124999999999995,0.8720833333333337
301,2021/2022,111,2020/2021,2,Permanent,19.0,-0.375,0.9166666666666666,-0.875,-0.18181818181818182,1.2916666666666665,0.6931818181818181,0.5984848484848484
349,2024/2025,27,2022/2023,1,Permanent,17.0,-1.04125,-0.43999999999999995,-1.125,-0.9166666666666666,0.6012500000000001,0.20833333333333337,0.3929166666666667
349,2024/2025,417,2022/2023,1,Permanent,17.0,-1.04125,-0.43999999999999995,-0.375,-1.1858333333333333,0.6012500000000001,-0.8108333333333333,1.4120833333333334
421,2021/2022,126,2023/2024,2,Interim,23.0,-1.25,-0.08333333333333333,-0.5137499999999999,-0.5028571428571428,1.1666666666666667,0.010892857142857149,1.1557738095238097
308,2019/2020,477,2023/2024,2,Permanent,17.0,-0.875,0.5833333333333334,-0.47,-0.16083333333333327,1.4583333333333335,0.3091666666666667,1.149166666666667
308,2024/2025,9,2024/2025,2,Permanent,19.0,-0.5228571428571428,-0.1666666666666666,-0.30124999999999996,-0.1254545454545454,0.35619047619047617,0.17579545454545456,0.1803950216450216
284,2020/2021,98,2019/2020,3,Permanent,10.0,0.3125,0.5,-1.2857142857142858,-0.5,0.1875,0.7857142857142858,-0.5982142857142858
284,2023/2024,404,2024/2025,3,,10.0,0.0,0.6666666666666666,-0.101875,0.5316666666666666,0.6666666666666666,0.6335416666666667,0.03312499999999996
228,2019/2020,240,2019/2020,1,Permanent,18.0,-0.5,0.25,-0.125,0.0,0.75,0.125,0.625
285,2019/2020,79,2020/2021,3,Permanent,12.0,0.5,0.16666666666666666,2.625,1.75,-0.33333333333333337,-0.875,0.5416666666666666
285,2022/2023,70,2021/2022,3,Permanent,15.0,-0.3333333333333333,-0.2727272727272727,-0.625,0.16666666666666666,0.06060606060606061,0.7916666666666666,-0.731060606060606
285,2022/2023,378,2020/2021,3,Permanent,15.0,-0.3333333333333333,-0.2727272727272727,-0.4444444444444444,0.09090909090909091,0.06060606060606061,0.5353535353535354,-0.47474747474747475
285,2024/2025,71,2021/2022,3,,7.0,-0.3333333333333333,0.16666666666666666,-1.5,0.08333333333333333,0.5,1.5833333333333333,-1.0833333333333333
285,2024/2025,359,2023/2024,3,,7.0,-0.3333333333333333,0.16666666666666666,-0.3033333333333333,0.0514285714285714,0.5,0.35476190476190467,0.14523809523809533
216,2022/2023,140,2021/2022,1,Permanent,14.0,0.06875,-0.05583333333333327,-1.5,-0.5,-0.12458333333333327,1.0,-1.1245833333333333
507,2024/2025,504,2024/2025,3,,16.0,-0.2727272727272727,-0.4,0.0,-1.3333333333333333,-0.12727272727272732,-1.3333333333333333,1.206060606060606
507,2024/2025,208,2021/2022,3,,16.0,-0.2727272727272727,-0.4,-0.25,-0.08333333333333333,-0.12727272727272732,0.16666666666666669,-0.293939393939394
291,2019/2020,72,2023/2024,3,Permanent,12.0,0.5833333333333334,-0.6666666666666666,-0.39999999999999997,0.1575,-1.25,0.5575,-1.8075
291,2019/2020,476,2024/2025,3,Permanent,12.0,0.5833333333333334,-0.6666666666666666,-0.3333333333333333,-1.0833333333333333,-1.25,-0.75,-0.5
291,2021/2022,206,2020/2021,3,Permanent,11.0,-0.7692307692307693,-0.5833333333333334,-1.75,-0.6666666666666666,0.1858974358974359,1.0833333333333335,-0.8974358974358976
291,2021/2022,99,2023/2024,3,Permanent,11.0,-0.7692307692307693,-0.5833333333333334,-0.76875,-0.15333333333333327,0.1858974358974359,0.6154166666666667,-0.4295192307692308
291,2021/2022,203,2023/2024,3,Permanent,11.0,-0.7692307692307693,-0.5833333333333334,-0.875,-0.4166666666666667,0.1858974358974359,0.4583333333333333,-0.2724358974358974
56,2021/2022,92,2024/2025,2,Permanent,10.0,-0.25,0.6666666666666666,-0.503125,-0.9025,0.9166666666666666,-0.3993749999999999,1.3160416666666666
472,2024/2025,51,2019/2020,1,Interim,21.0,-0.21625,-0.9308333333333332,-0.875,-1.0833333333333333,-0.7145833333333331,-0.20833333333333326,-0.5062499999999999
472,2024/2025,39,2022/2023,1,Interim,21.0,-0.21625,-0.9308333333333332,-0.13624999999999998,-0.2816666666666667,-0.7145833333333331,-0.1454166666666667,-0.5691666666666664
234,2019/2020,283,2023/2024,1,Permanent,16.0,-1.375,-0.16666666666666666,-0.48250000000000004,-0.28583333333333333,1.2083333333333333,0.1966666666666667,1.0116666666666665
234,2021/2022,331,2024/2025,1,Permanent,17.0,-1.625,-1.0,-0.59375,-0.6608333333333333,0.625,-0.06708333333333327,0.6920833333333333
323,2021/2022,263,2022/2023,2,Permanent,25.0,1.25,0.45454545454545453,1.625,1.5,-0.7954545454545454,-0.125,-0.6704545454545454
323,2024/2025,309,2020/2021,2,Permanent,18.0,0.8075,0.7816666666666666,-0.8571428571428571,-1.0,-0.025833333333333375,-0.1428571428571429,0.11702380952380953
323,2024/2025,423,2021/2022,2,Permanent,18.0,0.8075,0.7816666666666666,0.875,-0.5,-0.025833333333333375,-1.375,1.3491666666666666
331,2021/2022,356,2020/2021,1,Permanent,7.0,-1.5,-0.6666666666666666,-0.3333333333333333,-0.8333333333333334,0.8333333333333334,-0.5,1.3333333333333335
302,2019/2020,58,2023/2024,2,Interim,19.0,0.5,0.8333333333333334,-0.125,-1.0,0.33333333333333337,-0.875,1.2083333333333335
302,2021/2022,426,2023/2024,2,Permanent,20.0,-0.625,0.5,0.15999999999999995,0.13699999999999993,1.125,-0.02300000000000002,1.1480000000000001
